play count,attempt,loss
114000,18.05,121.32222747802734
115000,17.56,108.02085876464844
116000,16.89,105.14120483398438
117000,17.33,112.11224365234375
118000,16.76,101.80757141113281
119000,15.37,111.43447875976562
120000,16.67,109.13842010498047
121000,17.17,108.03330993652344
122000,16.96,99.82718658447266
123000,16.65,106.86369323730469
124000,16.22,106.24818420410156
125000,16.31,96.53272247314453
126000,14.74,105.24728393554688
127000,16.63,99.85198211669922
128000,17.92,99.84650421142578
129000,16.7,100.90613555908203
130000,17.21,107.39935302734375
131000,16.1,100.54545593261719
132000,17.98,101.75628662109375
133000,16.69,98.80561828613281
134000,16.44,98.82233428955078
135000,17.85,105.39306640625
136000,16.22,107.0147476196289
137000,15.71,101.40345764160156
138000,16.76,107.11190795898438
139000,15.84,93.41181945800781
140000,17.43,99.02025604248047
141000,16.6,96.24505615234375
142000,16.38,113.95221710205078
143000,17.4,103.69094848632812
144000,16.32,93.77337646484375
145000,16.27,93.91120910644531
146000,16.12,97.29418182373047
147000,16.46,98.44496154785156
148000,15.83,99.6739730834961
149000,15.5,91.3437271118164
150000,14.7,98.87614440917969
151000,15.56,98.96115112304688
152000,17.46,109.2833023071289
153000,17.06,100.34161376953125
154000,14.81,101.04878997802734
155000,16.05,92.97866821289062
156000,16.32,98.32355499267578
157000,15.1,100.889892578125
158000,12.99,97.7586441040039
159000,15.44,105.04429626464844
160000,15.91,98.3078842163086
161000,14.85,96.61543273925781
162000,16.11,107.79457092285156
163000,16.48,95.63706970214844
164000,16.24,91.93496704101562
165000,16.18,94.46505737304688
166000,15.81,93.23883056640625
167000,15.66,94.93342590332031
168000,13.88,96.75091552734375
169000,16.31,90.50548553466797
170000,15.2,92.46223449707031
171000,15.05,88.9811782836914
172000,13.13,100.28181457519531
173000,14.08,94.0694808959961
174000,14.44,101.99343872070312
175000,14.8,86.22970581054688
176000,14.45,93.42107391357422
177000,14.08,92.84732055664062
178000,14.21,85.10307312011719
179000,14.68,95.29578399658203
180000,15.01,92.572509765625
181000,14.63,83.04080200195312
182000,15.09,88.51118469238281
183000,15.14,86.99054718017578
184000,13.62,99.26338195800781
185000,11.99,94.84779357910156
186000,15.59,89.17980194091797
187000,11.53,88.8044662475586
188000,14.8,89.33238983154297
189000,15.3,92.11442565917969
190000,14.17,89.39177703857422
191000,14.28,81.13668823242188
192000,15.1,89.23434448242188
193000,15.09,92.92745208740234
194000,14.18,100.14920806884766
195000,13.93,88.1974868774414
196000,13.5,93.40885925292969
197000,13.59,92.26278686523438
198000,12.24,98.38500213623047
199000,14.27,83.67926025390625
200000,14.0,85.52957916259766
201000,13.17,85.54113006591797
202000,13.4,84.71875762939453
203000,14.75,93.72935485839844
204000,13.75,91.8077163696289
205000,12.24,87.6493148803711
206000,14.06,84.6715316772461
207000,14.17,93.84657287597656
208000,12.98,86.00218963623047
209000,13.79,87.77870178222656
210000,13.92,85.68634033203125
211000,15.62,86.78469848632812
212000,16.4,95.74693298339844
213000,14.23,84.09660339355469
214000,13.72,92.75808715820312
215000,12.1,86.15608215332031
216000,15.03,83.86112213134766
217000,13.25,83.88728332519531
218000,14.4,84.44316101074219
219000,13.3,86.01451873779297
220000,14.1,82.55485534667969
221000,15.68,89.55326843261719
222000,14.58,82.90974426269531
223000,13.53,83.58402252197266
224000,13.36,82.08238983154297
225000,13.48,82.61932373046875
226000,12.59,80.86536407470703
227000,13.81,85.8067855834961
228000,14.37,85.8005599975586
229000,15.39,88.19082641601562
230000,12.25,84.38339233398438
231000,13.72,82.98389434814453
232000,12.6,83.61760711669922
233000,12.94,85.54983520507812
234000,12.68,75.89368438720703
235000,12.88,85.43426513671875
236000,12.51,82.60748291015625
237000,14.27,86.49540710449219
238000,14.62,82.4068374633789
239000,13.21,84.09628295898438
240000,13.71,84.56580352783203
241000,13.25,85.51812744140625
